group_type,model,dataset,lambda_label,group_value,n_steps,prediction_diff_rate_vs_lambda1,answer_change_rate,avg_final_logprob_delta_vs_lambda1,avg_logprob_change_delta_vs_lambda1,avg_specificity_drift_delta_vs_lambda1,avg_target_new_cot_overlap_delta_vs_lambda1
phase,Phi-3,openbook,0.1,single,1,0,1,-1.5,-1.5,0,-0.1429
phase,Phi-3,openbook,0.3,early,46,0,0.10869565217391304,-3.1847826086956523,-3.1847826086956523,-0.043478260869565216,-0.011104347826086958
phase,Phi-3,openbook,0.3,late,73,0.0136986301369863,0.1643835616438356,-3.308219178082192,-3.308219178082192,0,0.002289041095890412
phase,Phi-3,openbook,0.3,middle,52,0,0.17307692307692307,-3.831730769230769,-3.831730769230769,0.038461538461538464,0.008207692307692306
phase,Phi-3,openbook,0.3,single,1,0,1,-0.5,-0.5,0,-0.0714
phase,Phi-3,openbook,1.0,early,46,0,0.10869565217391304,0.0,0.0,0,0.0
phase,Phi-3,openbook,1.0,late,73,0,0.1506849315068493,0.0,0.0,0,0.0
phase,Phi-3,openbook,1.0,middle,52,0,0.17307692307692307,0.0,0.0,0,0.0
phase,Phi-3,openbook,1.0,single,1,0,1,0.0,0.0,0,0.0
phase,Phi-3,openbook,10.0,early,46,0,0.10869565217391304,5.603260869565218,5.603260869565218,-0.021739130434782608,-0.011147826086956521
phase,Phi-3,openbook,10.0,late,73,0.0273972602739726,0.1780821917808219,5.890410958904109,5.890410958904109,0.0410958904109589,-0.0058630136986301375
phase,Phi-3,openbook,10.0,middle,52,0,0.17307692307692307,5.6826923076923075,5.6826923076923075,-0.1346153846153846,0.011757692307692306
phase,Phi-3,openbook,10.0,single,1,0,1,1.0,1.0,-1,0.0
phase,Phi-3,openbook,3.0,early,46,0,0.10869565217391304,2.9239130434782608,2.9239130434782608,-0.10869565217391304,-0.015856521739130436
phase,Phi-3,openbook,3.0,late,73,0.0273972602739726,0.1780821917808219,3.3972602739726026,3.3972602739726026,-0.0273972602739726,-0.019517808219178083
phase,Phi-3,openbook,3.0,middle,52,0,0.17307692307692307,2.9615384615384617,2.9615384615384617,-0.1346153846153846,0.00125
phase,Phi-3,openbook,3.0,single,1,0,1,1.0,1.0,-1,-0.0357
phase,Phi-3,sqa,0.0,early,46,0.021739130434782608,0.043478260869565216,-1.5326086956521738,-1.5326086956521738,0.021739130434782608,0.015717391304347825
phase,Phi-3,sqa,0.0,late,69,0.014492753623188406,0.10144927536231885,-1.108695652173913,-1.108695652173913,0.15942028985507245,-0.013315942028985507
phase,Phi-3,sqa,0.0,middle,54,0.018518518518518517,0.12962962962962962,-1.1064814814814814,-1.1064814814814814,0.09259259259259259,-0.01420925925925926
phase,Phi-3,sqa,0.0,single,1,0,0,0.0,0.0,0,0.0
phase,Phi-3,sqa,0.1,early,46,0.021739130434782608,0.043478260869565216,-1.4782608695652173,-1.4782608695652173,0.043478260869565216,-0.002786956521739133
phase,Phi-3,sqa,0.1,late,69,0,0.08695652173913043,-1.0217391304347827,-1.0217391304347827,0.10144927536231885,-0.014684057971014493
phase,Phi-3,sqa,0.1,middle,54,0,0.14814814814814814,-1.0949074074074074,-1.0949074074074074,0.018518518518518517,-0.003916666666666666
phase,Phi-3,sqa,0.1,single,1,0,0,-0.125,-0.125,0,0.0
phase,Phi-3,sqa,0.3,early,46,0.021739130434782608,0.08695652173913043,-0.8586956521739131,-0.8586956521739131,0,0.022865217391304347
phase,Phi-3,sqa,0.3,late,69,0.014492753623188406,0.10144927536231885,-0.7192028985507246,-0.7192028985507246,0.10144927536231885,0.008533333333333332
phase,Phi-3,sqa,0.3,middle,54,0.018518518518518517,0.12962962962962962,-0.9143518518518519,-0.9143518518518519,0.07407407407407407,0.01111111111111111
phase,Phi-3,sqa,0.3,single,1,0,0,0.5,0.5,0,0.0
phase,Phi-3,sqa,1.0,early,46,0,0.06521739130434782,0.0,0.0,0,0.0
